file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\1\mu_p_ft.csv,1,0.0,0.01,mu_p_ft,m^{2} V^{-1} s^{-1},9.999696903850719e-11,0.009999558329582214,0.0027603042477152154,0,19463.75170626626
sim\snapshots\1\Nad.csv,1,0.0,0.01,Nad,m^{-3},-2.9999999334588925e+23,2.9999999334588925e+23,0.0,13,7.339449425091493e+29
sim\snapshots\1\Nion.csv,1,0.0,0.01,Nion,m^{-3},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\phi.csv,1,0.0,0.01,phi,V,-1.3987972736358643,0.001224749954417348,-0.37932664640663893,60,100.53995281286844
sim\snapshots\1\Q_nfree.csv,1,0.0,0.01,Q_nfree,m^{-3},3.749999866187181e-09,9.376559996595947e+23,4.9399639862136134e+22,0,1.5300551291979165e+27
sim\snapshots\1\Q_nfree_and_ntrap.csv,1,0.0,0.01,Q_nfree_and_ntrap,m^{-3},1.1250000042650754e-08,5.115291859414854e+23,5.143055906535047e+22,0,8.347093706026601e+26
sim\snapshots\1\Q_ntrap.csv,1,0.0,0.01,Q_ntrap,m^{-3},1.1250000042650754e-08,8.800520060641705e+22,7.425005576749775e+21,0,1.436062059151915e+26
sim\snapshots\1\Q_pfree.csv,1,0.0,0.01,Q_pfree,m^{-3},3.749999866187181e-09,6.1754049843407e+23,5.0764318210651775e+22,0,2.156874089163957e+26
sim\snapshots\1\Q_pfree_and_ptrap.csv,1,0.0,0.01,Q_pfree_and_ptrap,m^{-3},1.1250000042650754e-08,5.1086607593235135e+23,4.845832341566494e+22,0,2.2746073113775107e+26
sim\snapshots\1\Q_ptrap.csv,1,0.0,0.01,Q_ptrap,m^{-3},1.1250000042650754e-08,1.8270210884800348e+18,1.1688250479245851e+17,0,2.3378931220787967e+21
sim\snapshots\1\Q_total.csv,1,0.0,0.01,Q_total,m^{-3},-5.115291859414854e+23,3.6986092964396946e+23,-2.9722354036531874e+21,24,8.347093706026601e+26
sim\snapshots\1\R_n.csv,1,0.0,0.01,R_n,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.251562420862838e+25,0,6.783445899980107e+29
sim\snapshots\1\R_nfree_to_pfree.csv,1,0.0,0.01,R_nfree_to_pfree,m^{-3} s^{-1},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\R_p.csv,1,0.0,0.01,R_p,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.251562451607194e+25,0,6.783445899980107e+29
sim\snapshots\1\R_srh_nfree.csv,1,0.0,0.01,R_srh_nfree,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.251562420862838e+25,0,6.783445899980107e+29
sim\snapshots\1\R_srh_nfree_to_ptrap.csv,1,0.0,0.01,R_srh_nfree_to_ptrap,m^{-3} s^{-1},1.1250000042650754e-08,2.0548752002060636e+24,1.5874136333749053e+23,0,6.540462277089147e+26
sim\snapshots\1\R_srh_pfree.csv,1,0.0,0.01,R_srh_pfree,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.251562451607194e+25,0,6.783445899980107e+29
